20.909091,16.357143,19.416667,24.333333,14554.274,1867.6456,2166.76,10519.87,13971.531,1881.4611,2239.1439,9850.9262,99.711704,-5.8964638,-6.5312799,-2.1974399,215.29677,179.06694,202.68942,367.91249,1.8554688,0.87890625,0.87890625,0.87890625,0.24319837,0.46913035,0.41332161,0.35028122,16.5,14,18,26,12,15,13,10,98.131474,26.02113,32.817626,83.748628,117.33111,39.770285,42.254454,86.043111
21.454545,17.692308,18.333333,27.375,16292.946,2288.4745,2740.804,11263.729,15985.643,2396.9285,2412.4744,11176.24,114.46323,-10.144848,-8.0084479,5.6034719,213.78104,215.44678,202.68942,367.91249,1.8554688,0.87890625,0.87890625,0.87890625,0.218256,0.3905903,0.35567027,0.31745138,24,16,18,27,12,14,13,9,106.06871,31.774479,30.907001,107.64626,123.59701,44.898721,42.145911,98.307091
24.222222,17.571429,19.083333,27.25,17456.097,3117.533,2351.9648,11986.588,17613.407,2771.8175,2523.6177,12317.972,124.76776,-6.3542642,-9.143792,-3.882144,222.64236,215.44678,202.68942,384.91823,1.8554688,0.87890625,0.9765625,0.87890625,0.18659764,0.37807651,0.39180567,0.33689373,25,14,18,27,10,15,13,9,125.97714,34.119548,32.562758,112.90643,130.02228,48.544073,42.658635,103.58388
18.083333,15.571429,17.923077,26.222222,17495.927,2517.1878,2259.8195,12718.935,17601.601,2747.9732,2270.8458,12582.782,119.34574,-10.01056,-7.3309045,10.89564,222.64236,215.44678,183.75482,384.91823,1.8554688,0.87890625,0.9765625,0.87890625,0.19029958,0.44177896,0.37421481,0.31468131,14,13,18,27,13,15,14,10,98.183501,29.867848,30.249812,111.64457,135.73756,47.952967,42.193943,106.4408
16.785714,15.571429,15.333333,27.125,18876.888,2717.1567,2332.4419,13827.29,19517.231,3000.495,2345.0628,14171.674,122.73459,-11.908904,-6.3237439,6.6960877,245.5343,235.06504,176.05157,412.30078,1.8554688,0.87890625,0.9765625,0.87890625,0.20042702,0.39850517,0.40434753,0.33189591,14,12,18,27,15,15,16,9,95.711043,32.58421,25.97826,119.43063,142.54836,52.314099,42.355859,110.07431
16.5,17.571429,14.733333,27.5,24326.208,4357.0627,2704.7184,17264.409,23719.03,4763.3476,2459.1527,16496.529,145.49428,-4.071368,-1.6419754,-4.571896,244.85695,372.30737,176.05157,430.96681,1.8554688,0.87890625,0.87890625,0.87890625,0.20513442,0.35172142,0.41714497,0.28429934,14,19,13.5,28,15,15,16,9,104.00686,42.632939,25.926028,133.65905,157.58615,60.656621,43.992129,121.50823
16.571429,15.666667,15.8,27.625,24997.739,6346.9913,2075.3928,16575.422,23249.455,6179.5408,2180.872,14889.043,141.83616,-24.593015,-1.7518476,9.4795117,252.44799,372.30737,185.74472,430.96681,1.8554688,0.87890625,0.87890625,0.87890625,0.20105381,0.49528607,0.42970235,0.26337076,14.5,17,17,28,14,16,16,9,111.43646,43.848804,26.381231,124.44062,156.10711,69.971495,41.742453,112.61595
17,15.933333,18.666667,26.333333,19405.192,6470.286,1916.4223,11018.493,20684.934,5616.1954,1879.5507,13189.188,130.98112,-19.972287,-3.1313519,1.7823683,252.44799,342.82505,184.9634,430.96681,1.7578125,0.87890625,0.87890625,0.87890625,0.21838016,0.51555043,0.45811669,0.27764127,14,17,19,27,15,16,13,10,97.169291,43.046202,28.065575,112.62462,142.89602,67.541111,37.587824,106.92211
18.230769,16.266667,20.636364,24.222222,16217.509,3254.4187,1739.2716,11223.818,14452.109,3840.2793,1589.5917,9022.238,103.53235,-13.257888,-4.6878719,7.6910399,224.69899,308.17875,180.04358,388.69051,1.7578125,0.87890625,0.87890625,0.87890625,0.24688123,0.47001188,0.39058522,0.2257964,15,21.5,20,27,14,16,12,10,91.348199,34.524077,28.796945,89.92726,125.26652,53.059545,34.886167,92.814833
23.1,18.166667,21.636364,24.333333,7579.0665,1381.4928,1026.9265,5170.5755,11120.014,2072.1874,1416.3382,7631.4884,91.903463,-6.4030959,-3.1740799,1.6541836,224.69899,221.8804,160.41312,374.10195,1.8554688,0.87890625,0.87890625,0.87890625,0.25602124,0.44249916,0.41310133,0.35421398,27,22,22.5,27,11,13,12,10,95.817079,26.524934,27.222544,77.791338,103.69814,36.502203,31.454621,79.922608
